value,segments,language,borrowing_score
dunia,"['d', 'u', 'n', 'i', 'a']",Indonesian,1.0
alam,"['a', 'l', 'a', 'm']",Indonesian,1.0
jagat,"['dʒ', 'a', 'g', 'a', 't']",Indonesian,1.0
buana,"['b', 'u', 'a', 'n', 'a']",Indonesian,1.0
darat,"['d', 'a', 'r', 'a', 't']",Indonesian,0.0
tanah,"['t', 'a', 'n', 'a', 'h']",Indonesian,0.0
bumi,"['b', 'u', 'm', 'i']",Indonesian,1.0
tanah,"['t', 'a', 'n', 'a', 'h']",Indonesian,0.0
debu,"['d', 'e', 'b', 'u']",Indonesian,0.0
serdak,"['s', 'e', 'r', 'd', 'a', 'ʔ']",Indonesian,0.0
duli,"['d', 'u', 'l', 'i']",Indonesian,1.0
lumpur,"['l', 'u', 'm', 'p', 'u', 'r']",Indonesian,0.0
pasir,"['p', 'a', 's', 'i', 'r']",Indonesian,0.0
gunung,"['g', 'u', 'n', 'u', 'ŋ']",Indonesian,0.0
bukit,"['b', 'u', 'k', 'i', 't']",Indonesian,0.0
tebing,"['t', 'e', 'b', 'i', 'ŋ']",Indonesian,0.0
dataran,"['d', 'a', 't', 'a', 'r', 'a', 'n']",Indonesian,0.0
padang,"['p', 'a', 'd', 'a', 'ŋ']",Indonesian,0.0
médan,"['m', 'é/e', 'd', 'a', 'n']",Indonesian,1.0
lembah,"['l', 'e', 'm', 'b', 'a', 'h']",Indonesian,0.0
pulau,"['p', 'u', 'l', 'aʊ']",Indonesian,0.0
nusa,"['n', 'u', 's', 'a']",Indonesian,0.0
daratan,"['d', 'a', 'r', 'a', 't', 'a', 'n']",Indonesian,0.0
pantai,"['p', 'a', 'n', 't', 'aɪ']",Indonesian,0.0
pesisir,"['p', 'e', 's', 'i', 's', 'i', 'r']",Indonesian,1.0
gua,"['g', 'u', 'a']",Indonesian,1.0
air,"['a', 'i', 'r']",Indonesian,0.0
laut,"['l', 'a', 'u', 't']",Indonesian,0.0
samudra,"['s', 'a', 'm', 'u', 'd', 'r', 'a']",Indonesian,1.0
tenang,"['t', 'e', 'n', 'a', 'ŋ']",Indonesian,0.0
bergejolak,"['b', 'e', 'r', 'g', 'e', 'dʒ', 'o', 'l', 'a', 'ʔ']",Indonesian,0.0
bergelora,"['b', 'e', 'r', 'g', 'e', 'l', 'o', 'r', 'a']",Indonesian,0.0
bergolak,"['b', 'e', 'r', 'g', 'o', 'l', 'a', 'ʔ']",Indonesian,0.0
buih,"['b', 'u', 'i', 'h']",Indonesian,0.0
busa,"['b', 'u', 's', 'a']",Indonesian,0.25
lautan,"['l', 'a', 'u', 't', 'a', 'n']",Indonesian,0.0
samudra,"['s', 'a', 'm', 'u', 'd', 'r', 'a']",Indonesian,1.0
danau,"['d', 'a', 'n', 'aʊ']",Indonesian,0.0
situ,"['s', 'i', 't', 'u']",Indonesian,1.0
teluk,"['t', 'e', 'l', 'u', 'ʔ']",Indonesian,0.0
laguna,"['l', 'a', 'g', 'u', 'n', 'a']",Indonesian,1.0
terumbu,"['t', 'e', 'r', 'u', 'm', 'b', 'u']",Indonesian,0.0
tanjung,"['t', 'a', 'ɲ', 'u', 'ŋ']",Indonesian,0.0
ancol,"['a', 'ɲ', 'o', 'l']",Indonesian,1.0
ombak,"['o', 'm', 'b', 'a', 'ʔ']",Indonesian,0.0
gelombang,"['g', 'e', 'l', 'o', 'm', 'b', 'a', 'ŋ']",Indonesian,0.0
alun,"['a', 'l', 'u', 'n']",Indonesian,0.0
pasang-surut (laut),"['p', 'a', 's', 'a', 'ŋ', '+', 's', 'u', 'r', 'u', 't', '+', 'l', 'a', 'u', 't']",Indonesian,0.0
surut,"['s', 'u', 'r', 'u', 't']",Indonesian,0.0
pasang (1),"['p', 'a', 's', 'a', 'ŋ']",Indonesian,0.0
sungai,"['s', 'u', 'ŋ', 'aɪ']",Indonesian,0.0
