value,segments,language,borrowing_score,age_label
dunia,"['d', 'u', 'n', 'i', 'a']",Indonesian,1.0,Early Malay
alam,"['a', 'l', 'a', 'm']",Indonesian,1.0,Early Malay
jagat,"['dʒ', 'a', 'g', 'a', 't']",Indonesian,1.0,Early Malay
buana,"['b', 'u', 'a', 'n', 'a']",Indonesian,1.0,Early Malay
darat,"['d', 'a', 'r', 'a', 't']",Indonesian,0.0,Prehistorical
tanah,"['t', 'a', 'n', 'a', 'h']",Indonesian,0.0,Prehistorical
bumi,"['b', 'u', 'm', 'i']",Indonesian,1.0,Early Malay
tanah,"['t', 'a', 'n', 'a', 'h']",Indonesian,0.0,Prehistorical
debu,"['d', 'e', 'b', 'u']",Indonesian,0.0,Prehistorical
serdak,"['s', 'e', 'r', 'd', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
duli,"['d', 'u', 'l', 'i']",Indonesian,1.0,Early Malay
lumpur,"['l', 'u', 'm', 'p', 'u', 'r']",Indonesian,0.0,Prehistorical
pasir,"['p', 'a', 's', 'i', 'r']",Indonesian,0.0,Prehistorical
gunung,"['g', 'u', 'n', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
bukit,"['b', 'u', 'k', 'i', 't']",Indonesian,0.0,Prehistorical
tebing,"['t', 'e', 'b', 'i', 'ŋ']",Indonesian,0.0,Prehistorical
dataran,"['d', 'a', 't', 'a', 'r', 'a', 'n']",Indonesian,0.0,Early Malay
padang,"['p', 'a', 'd', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
médan,"['m', 'é/e', 'd', 'a', 'n']",Indonesian,1.0,Early Malay
lembah,"['l', 'e', 'm', 'b', 'a', 'h']",Indonesian,0.0,Prehistorical
pulau,"['p', 'u', 'l', 'aʊ']",Indonesian,0.0,Prehistorical
nusa,"['n', 'u', 's', 'a']",Indonesian,0.0,Prehistorical
daratan,"['d', 'a', 'r', 'a', 't', 'a', 'n']",Indonesian,0.0,Early Malay
pantai,"['p', 'a', 'n', 't', 'aɪ']",Indonesian,0.0,Prehistorical
pesisir,"['p', 'e', 's', 'i', 's', 'i', 'r']",Indonesian,1.0,Modern
gua,"['g', 'u', 'a']",Indonesian,1.0,Early Malay
air,"['a', 'i', 'r']",Indonesian,0.0,Prehistorical
laut,"['l', 'a', 'u', 't']",Indonesian,0.0,Prehistorical
samudra,"['s', 'a', 'm', 'u', 'd', 'r', 'a']",Indonesian,1.0,Early Malay
tenang,"['t', 'e', 'n', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
bergejolak,"['b', 'e', 'r', 'g', 'e', 'dʒ', 'o', 'l', 'a', 'ʔ']",Indonesian,0.0,Modern
bergelora,"['b', 'e', 'r', 'g', 'e', 'l', 'o', 'r', 'a']",Indonesian,0.0,Early Malay
bergolak,"['b', 'e', 'r', 'g', 'o', 'l', 'a', 'ʔ']",Indonesian,0.0,Modern
buih,"['b', 'u', 'i', 'h']",Indonesian,0.0,Prehistorical
busa,"['b', 'u', 's', 'a']",Indonesian,0.25,Early Malay
lautan,"['l', 'a', 'u', 't', 'a', 'n']",Indonesian,0.0,Early Malay
samudra,"['s', 'a', 'm', 'u', 'd', 'r', 'a']",Indonesian,1.0,Early Malay
danau,"['d', 'a', 'n', 'aʊ']",Indonesian,0.0,Prehistorical
situ,"['s', 'i', 't', 'u']",Indonesian,1.0,Modern
teluk,"['t', 'e', 'l', 'u', 'ʔ']",Indonesian,0.0,Prehistorical
laguna,"['l', 'a', 'g', 'u', 'n', 'a']",Indonesian,1.0,Modern
terumbu,"['t', 'e', 'r', 'u', 'm', 'b', 'u']",Indonesian,0.0,Prehistorical
tanjung,"['t', 'a', 'ɲ', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
ancol,"['a', 'ɲ', 'o', 'l']",Indonesian,1.0,Modern
ombak,"['o', 'm', 'b', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
gelombang,"['g', 'e', 'l', 'o', 'm', 'b', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
alun,"['a', 'l', 'u', 'n']",Indonesian,0.0,Prehistorical
pasang-surut (laut),"['p', 'a', 's', 'a', 'ŋ', '+', 's', 'u', 'r', 'u', 't', '+', 'l', 'a', 'u', 't']",Indonesian,0.0,Modern
surut,"['s', 'u', 'r', 'u', 't']",Indonesian,0.0,Prehistorical
pasang (1),"['p', 'a', 's', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
sungai,"['s', 'u', 'ŋ', 'aɪ']",Indonesian,0.0,Prehistorical
anak sungai,"['a', 'n', 'a', 'k', '+', 's', 'u', 'ŋ', 'aɪ']",Indonesian,0.0,Prehistorical
kali,"['k', 'a', 'l', 'i']",Indonesian,1.0,Modern
pusaran air,"['p', 'u', 's', 'a', 'r', 'a', 'n', '+', 'a', 'i', 'r']",Indonesian,0.0,Modern
mata air,"['m', 'a', 't', 'a', '+', 'a', 'i', 'r']",Indonesian,0.0,Prehistorical
